# name	x	y	plane	requirement	argument
SOUTH_PRIFDDINAS	3295	6059	0	finished	SONG_OF_THE_ELVES
WARRIORS_GUILD	2844	3542	0	warriors	
WINTERTODT	1640	3944	0	none	
WOODCUTTING_GUILD	1592	3476	0	level	WOODCUTTING:60
WOODCUTTING_GUILD_DUNGEON	1551	9872	0	level	WOODCUTTING:60
YANILLE	2612	3092	0	none	
ZANARIS	2384	4458	0	finished	LOST_CITY
SULFUR_MINE	1454	3858	0	none	
HALLOWED_SEPULCHER	2397	5983	0	finished	SINS_OF_THE_FATHER
CAM_TORUM	1451	9568	1	progress_gt	PERILOUS_MOONS:4
DARKFROST	1526	3292	0	none	
NEMUS_RETREAT	1388	3310	0	none	
DEEPFIN_MINE_WEST	2011	9185	0	bit_eq	18361:1
DEEPFIN_MINE_EAST	2093	9197	0	bit_eq	18362:1
THE_ONYX_CREST	2985	2268	0	bit_eq	18363:1
CHARRED_ISLAND	2655	2387	0	bit_eq	18353:1
SUNBLEAK_ISLAND	2194	2314	0	bit_eq	18358:1
BUCCANEERS_HAVEN	2097	3687	0	bit_eq	18369:1
